#    L    TT             EE             TE             PP             TP          
   181   0.691760E+04   0.101670E+01  -0.446997E+02   0.358640E+07   0.372507E+04
   182   0.694693E+04   0.100354E+01  -0.436568E+02   0.356647E+07   0.369350E+04
   183   0.697559E+04   0.990607E+00  -0.425794E+02   0.354671E+07   0.366225E+04
   184   0.700371E+04   0.977978E+00  -0.414666E+02   0.352711E+07   0.363130E+04
   185   0.703122E+04   0.965817E+00  -0.403208E+02   0.350768E+07   0.360064E+04
   186   0.705775E+04   0.953991E+00  -0.391390E+02   0.348842E+07   0.357027E+04
   187   0.708396E+04   0.942654E+00  -0.379229E+02   0.346932E+07   0.354018E+04
   188   0.710948E+04   0.931801E+00  -0.366738E+02   0.345038E+07   0.351036E+04
   189   0.713424E+04   0.921479E+00  -0.353905E+02   0.343160E+07   0.348080E+04
   190   0.715867E+04   0.911753E+00  -0.340752E+02   0.341297E+07   0.345150E+04
   191   0.718204E+04   0.902654E+00  -0.327249E+02   0.339451E+07   0.342245E+04
   192   0.720486E+04   0.894216E+00  -0.313419E+02   0.337619E+07   0.339363E+04
   193   0.722690E+04   0.886494E+00  -0.299278E+02   0.335803E+07   0.336505E+04
   194   0.724840E+04   0.879528E+00  -0.284803E+02   0.334002E+07   0.333669E+04
   195   0.726911E+04   0.873367E+00  -0.270019E+02   0.332216E+07   0.330856E+04
   196   0.728904E+04   0.868058E+00  -0.254917E+02   0.330445E+07   0.328062E+04
   197   0.730835E+04   0.863657E+00  -0.239513E+02   0.328688E+07   0.325290E+04
   198   0.732694E+04   0.860196E+00  -0.223800E+02   0.326945E+07   0.322536E+04
   199   0.734482E+04   0.857725E+00  -0.207786E+02   0.325217E+07   0.319801E+04
   200   0.736199E+04   0.856282E+00  -0.191479E+02   0.323503E+07   0.317084E+04
   201   0.737837E+04   0.855938E+00  -0.174872E+02   0.321802E+07   0.314384E+04
   202   0.739404E+04   0.856711E+00  -0.157983E+02   0.320115E+07   0.311701E+04
   203   0.740892E+04   0.858670E+00  -0.140804E+02   0.318442E+07   0.309036E+04
