#    L    TT             EE             BB             TE             PP             TP             EP          
   150   0.576545E+04   0.139511E+01   0.590171E-02  -0.596352E+02   0.932657E-07   0.290242E-03  -0.102155E-05
   151   0.580812E+04   0.138847E+01   0.577405E-02  -0.596584E+02   0.926942E-07   0.287416E-03  -0.101193E-05
   152   0.585044E+04   0.138119E+01   0.564830E-02  -0.596504E+02   0.921275E-07   0.284635E-03  -0.100345E-05
   153   0.589256E+04   0.137341E+01   0.552450E-02  -0.596089E+02   0.915657E-07   0.281898E-03  -0.995997E-06
   154   0.593439E+04   0.136514E+01   0.540269E-02  -0.595359E+02   0.910087E-07   0.279204E-03  -0.989488E-06
   155   0.597595E+04   0.135639E+01   0.528291E-02  -0.594309E+02   0.904565E-07   0.276553E-03  -0.983823E-06
   156   0.601706E+04   0.134716E+01   0.516518E-02  -0.592936E+02   0.899090E-07   0.273944E-03  -0.978905E-06
   157   0.605803E+04   0.133746E+01   0.504955E-02  -0.591226E+02   0.893662E-07   0.271374E-03  -0.974637E-06
   158   0.609862E+04   0.132737E+01   0.493605E-02  -0.589185E+02   0.888281E-07   0.268844E-03  -0.970924E-06
   159   0.613884E+04   0.131675E+01   0.482473E-02  -0.586813E+02   0.882947E-07   0.266353E-03  -0.967669E-06
   160   0.617876E+04   0.130574E+01   0.471561E-02  -0.584095E+02   0.877658E-07   0.263899E-03  -0.964776E-06
   161   0.621836E+04   0.129443E+01   0.460874E-02  -0.581044E+02   0.872415E-07   0.261481E-03  -0.962148E-06
   162   0.625758E+04   0.128267E+01   0.450414E-02  -0.577661E+02   0.867218E-07   0.259099E-03  -0.959689E-06
   163   0.629656E+04   0.127055E+01   0.440187E-02  -0.573929E+02   0.862065E-07   0.256751E-03  -0.957304E-06
   164   0.633499E+04   0.125814E+01   0.430195E-02  -0.569863E+02   0.856957E-07   0.254437E-03  -0.954894E-06
   165   0.637317E+04   0.124538E+01   0.420441E-02  -0.565441E+02   0.851893E-07   0.252155E-03  -0.952365E-06
   166   0.641095E+04   0.123242E+01   0.410931E-02  -0.560676E+02   0.846874E-07   0.249905E-03  -0.949621E-06
   167   0.644840E+04   0.121903E+01   0.401667E-02  -0.555576E+02   0.841898E-07   0.247686E-03  -0.946564E-06
   168   0.648529E+04   0.120561E+01   0.392653E-02  -0.550117E+02   0.836965E-07   0.245496E-03  -0.943099E-06
   169   0.652176E+04   0.119186E+01   0.383893E-02  -0.544299E+02   0.832075E-07   0.243334E-03  -0.939131E-06
   170   0.655781E+04   0.117799E+01   0.375390E-02  -0.538137E+02   0.827228E-07   0.241200E-03  -0.934561E-06
   171   0.659330E+04   0.116403E+01   0.367148E-02  -0.531607E+02   0.822423E-07   0.239093E-03  -0.929296E-06
   172   0.662828E+04   0.114990E+01   0.359171E-02  -0.524725E+02   0.817660E-07   0.237012E-03  -0.923238E-06
   173   0.666268E+04   0.113561E+01   0.351462E-02  -0.517488E+02   0.812939E-07   0.234955E-03  -0.916291E-06
   174   0.669665E+04   0.112145E+01   0.344026E-02  -0.509897E+02   0.808259E-07   0.232921E-03  -0.908359E-06
   175   0.673010E+04   0.110715E+01   0.336865E-02  -0.501944E+02   0.803620E-07   0.230911E-03  -0.899347E-06
   176   0.676290E+04   0.109292E+01   0.329982E-02  -0.493629E+02   0.799022E-07   0.228922E-03  -0.889184E-06
   177   0.679517E+04   0.107870E+01   0.323374E-02  -0.484966E+02   0.794464E-07   0.226955E-03  -0.877899E-06
   178   0.682685E+04   0.106473E+01   0.317036E-02  -0.475941E+02   0.789945E-07   0.225008E-03  -0.865548E-06
   179   0.685793E+04   0.105071E+01   0.310963E-02  -0.466555E+02   0.785466E-07   0.223082E-03  -0.852187E-06
   180   0.688856E+04   0.103689E+01   0.305150E-02  -0.456822E+02   0.781026E-07   0.221176E-03  -0.837871E-06
   181   0.691851E+04   0.102328E+01   0.299593E-02  -0.446744E+02   0.776625E-07   0.219289E-03  -0.822655E-06
   182   0.694786E+04   0.100995E+01   0.294286E-02  -0.436306E+02   0.772262E-07   0.217421E-03  -0.806594E-06
   183   0.697654E+04   0.996848E+00   0.289226E-02  -0.425523E+02   0.767937E-07   0.215572E-03  -0.789744E-06
   184   0.700468E+04   0.984058E+00   0.284407E-02  -0.414389E+02   0.763649E-07   0.213740E-03  -0.772161E-06
   185   0.703221E+04   0.971738E+00   0.279824E-02  -0.402925E+02   0.759398E-07   0.211927E-03  -0.753899E-06
   186   0.705876E+04   0.959758E+00   0.275474E-02  -0.391103E+02   0.755184E-07   0.210130E-03  -0.735014E-06
   187   0.708499E+04   0.948269E+00   0.271350E-02  -0.378938E+02   0.751006E-07   0.208350E-03  -0.715561E-06
   188   0.711054E+04   0.937269E+00   0.267449E-02  -0.366446E+02   0.746864E-07   0.206586E-03  -0.695595E-06
   189   0.713531E+04   0.926804E+00   0.263765E-02  -0.353611E+02   0.742757E-07   0.204838E-03  -0.675172E-06
   190   0.715977E+04   0.916938E+00   0.260293E-02  -0.340457E+02   0.738685E-07   0.203105E-03  -0.654348E-06
   191   0.718316E+04   0.907703E+00   0.257030E-02  -0.326955E+02   0.734648E-07   0.201387E-03  -0.633175E-06
   192   0.720600E+04   0.899134E+00   0.253970E-02  -0.313126E+02   0.730645E-07   0.199684E-03  -0.611712E-06
   193   0.722806E+04   0.891285E+00   0.251109E-02  -0.298987E+02   0.726676E-07   0.197994E-03  -0.590012E-06
   194   0.724958E+04   0.884196E+00   0.248441E-02  -0.284516E+02   0.722740E-07   0.196318E-03  -0.568131E-06
   195   0.727031E+04   0.877916E+00   0.245962E-02  -0.269735E+02   0.718837E-07   0.194654E-03  -0.546124E-06
   196   0.729027E+04   0.872493E+00   0.243667E-02  -0.254637E+02   0.714967E-07   0.193004E-03  -0.524046E-06
   197   0.730959E+04   0.867982E+00   0.241551E-02  -0.239238E+02   0.711129E-07   0.191365E-03  -0.501952E-06
   198   0.732820E+04   0.864416E+00   0.239610E-02  -0.223531E+02   0.707323E-07   0.189738E-03  -0.479898E-06
   199   0.734610E+04   0.861844E+00   0.237839E-02  -0.207523E+02   0.703549E-07   0.188122E-03  -0.457939E-06
   200   0.736329E+04   0.860305E+00   0.236233E-02  -0.191222E+02   0.699805E-07   0.186516E-03  -0.436130E-06
   201   0.737969E+04   0.859870E+00   0.234788E-02  -0.174623E+02   0.696092E-07   0.184921E-03  -0.414516E-06
   202   0.739537E+04   0.860557E+00   0.233498E-02  -0.157740E+02   0.692410E-07   0.183337E-03  -0.393104E-06
   203   0.741026E+04   0.862435E+00   0.232358E-02  -0.140570E+02   0.688757E-07   0.181762E-03  -0.371890E-06
   204   0.742429E+04   0.865536E+00   0.231364E-02  -0.123144E+02   0.685135E-07   0.180198E-03  -0.350871E-06
   205   0.743760E+04   0.869914E+00   0.230511E-02  -0.105441E+02   0.681542E-07   0.178645E-03  -0.330044E-06
   206   0.745004E+04   0.875618E+00   0.229793E-02  -0.874769E+01   0.677978E-07   0.177101E-03  -0.309404E-06
   207   0.746177E+04   0.882680E+00   0.229206E-02  -0.692576E+01   0.674444E-07   0.175569E-03  -0.288949E-06
   208   0.747256E+04   0.891161E+00   0.228746E-02  -0.507906E+01   0.670938E-07   0.174047E-03  -0.268675E-06
   209   0.748256E+04   0.901093E+00   0.228406E-02  -0.320816E+01   0.667461E-07   0.172535E-03  -0.248580E-06
