#    L    TT             EE             BB             TE             PP             TP             EP          
   161   0.631636E+04   0.131798E+01   0.594015E-02  -0.590475E+02   0.884991E-07   0.265409E-03  -0.978505E-06
   162   0.635614E+04   0.130596E+01   0.580508E-02  -0.587021E+02   0.879710E-07   0.262991E-03  -0.976017E-06
   163   0.639567E+04   0.129357E+01   0.567300E-02  -0.583215E+02   0.874475E-07   0.260608E-03  -0.973601E-06
   164   0.643465E+04   0.128089E+01   0.554396E-02  -0.579069E+02   0.869285E-07   0.258258E-03  -0.971161E-06
   165   0.647337E+04   0.126784E+01   0.541801E-02  -0.574562E+02   0.864141E-07   0.255942E-03  -0.968598E-06
   166   0.651169E+04   0.125460E+01   0.529520E-02  -0.569708E+02   0.859041E-07   0.253658E-03  -0.965813E-06
   167   0.654967E+04   0.124093E+01   0.517557E-02  -0.564513E+02   0.853986E-07   0.251406E-03  -0.962710E-06
   168   0.658708E+04   0.122722E+01   0.505917E-02  -0.558954E+02   0.848974E-07   0.249183E-03  -0.959190E-06
   169   0.662407E+04   0.121317E+01   0.494606E-02  -0.553032E+02   0.844007E-07   0.246989E-03  -0.955154E-06
   170   0.666063E+04   0.119901E+01   0.483626E-02  -0.546760E+02   0.839082E-07   0.244824E-03  -0.950505E-06
   171   0.669662E+04   0.118476E+01   0.472984E-02  -0.540115E+02   0.834201E-07   0.242686E-03  -0.945145E-06
   172   0.673209E+04   0.117033E+01   0.462684E-02  -0.533113E+02   0.829363E-07   0.240573E-03  -0.938976E-06
   173   0.676699E+04   0.115574E+01   0.452731E-02  -0.525751E+02   0.824566E-07   0.238486E-03  -0.931900E-06
   174   0.680143E+04   0.114129E+01   0.443129E-02  -0.518030E+02   0.819812E-07   0.236423E-03  -0.923818E-06
   175   0.683536E+04   0.112668E+01   0.433883E-02  -0.509942E+02   0.815100E-07   0.234383E-03  -0.914634E-06
   176   0.686861E+04   0.111215E+01   0.424995E-02  -0.501485E+02   0.810429E-07   0.232365E-03  -0.904274E-06
   177   0.690134E+04   0.109764E+01   0.416463E-02  -0.492676E+02   0.805799E-07   0.230369E-03  -0.892770E-06
   178   0.693346E+04   0.108337E+01   0.408279E-02  -0.483501E+02   0.801209E-07   0.228394E-03  -0.880179E-06
   179   0.696498E+04   0.106907E+01   0.400437E-02  -0.473958E+02   0.796659E-07   0.226440E-03  -0.866556E-06
