#    L    TT             EE             BB             TE             PP             TP             EP          
   154   0.592334E+04   0.136183E+01   0.504735E-02  -0.594211E+02   0.908461E-07   0.278698E-03  -0.987607E-06
   155   0.596482E+04   0.135311E+01   0.493549E-02  -0.593166E+02   0.902949E-07   0.276052E-03  -0.981952E-06
   156   0.600586E+04   0.134391E+01   0.482555E-02  -0.591800E+02   0.897484E-07   0.273447E-03  -0.977042E-06
   157   0.604676E+04   0.133425E+01   0.471757E-02  -0.590096E+02   0.892067E-07   0.270882E-03  -0.972782E-06
   158   0.608729E+04   0.132419E+01   0.461159E-02  -0.588062E+02   0.886696E-07   0.268357E-03  -0.969076E-06
   159   0.612744E+04   0.131360E+01   0.450763E-02  -0.585698E+02   0.881371E-07   0.265870E-03  -0.965827E-06
   160   0.616729E+04   0.130263E+01   0.440573E-02  -0.582988E+02   0.876092E-07   0.263421E-03  -0.962938E-06
   161   0.620682E+04   0.129135E+01   0.430593E-02  -0.579945E+02   0.870859E-07   0.261007E-03  -0.960315E-06
   162   0.624598E+04   0.127963E+01   0.420825E-02  -0.576571E+02   0.865671E-07   0.258629E-03  -0.957860E-06
   163   0.628488E+04   0.126755E+01   0.411274E-02  -0.572849E+02   0.860528E-07   0.256286E-03  -0.955478E-06
   164   0.632325E+04   0.125518E+01   0.401943E-02  -0.568793E+02   0.855430E-07   0.253976E-03  -0.953073E-06
   165   0.636137E+04   0.124245E+01   0.392834E-02  -0.564382E+02   0.850375E-07   0.251698E-03  -0.950549E-06
   166   0.639908E+04   0.122953E+01   0.383953E-02  -0.559628E+02   0.845365E-07   0.249452E-03  -0.947809E-06
   167   0.643646E+04   0.121619E+01   0.375301E-02  -0.554539E+02   0.840398E-07   0.247237E-03  -0.944758E-06
   168   0.647328E+04   0.120280E+01   0.366883E-02  -0.549093E+02   0.835475E-07   0.245051E-03  -0.941299E-06
   169   0.650969E+04   0.118908E+01   0.358702E-02  -0.543288E+02   0.830594E-07   0.242893E-03  -0.937338E-06
