#           k/h    P           
   0.676826E+00   0.196867E+03
   0.690499E+00   0.188171E+03
   0.704448E+00   0.180188E+03
   0.718679E+00   0.172203E+03
   0.733197E+00   0.164559E+03
   0.748009E+00   0.157241E+03
   0.763119E+00   0.150521E+03
   0.778536E+00   0.143801E+03
   0.794263E+00   0.137369E+03
   0.810308E+00   0.131211E+03
   0.826677E+00   0.125555E+03
   0.843378E+00   0.119901E+03
   0.860415E+00   0.114490E+03
   0.877797E+00   0.109312E+03
   0.895529E+00   0.104357E+03
   0.913620E+00   0.998072E+02
   0.932076E+00   0.952643E+02
   0.950906E+00   0.909198E+02
   0.970115E+00   0.867655E+02
   0.989713E+00   0.829518E+02
   0.100971E+01   0.791473E+02
   0.103010E+01   0.755109E+02
   0.105091E+01   0.720358E+02
   0.107214E+01   0.688467E+02
   0.109380E+01   0.656676E+02
   0.111590E+01   0.626307E+02
   0.113844E+01   0.597299E+02
   0.116144E+01   0.570688E+02
   0.118490E+01   0.544178E+02
   0.120884E+01   0.518865E+02
   0.123326E+01   0.494695E+02
   0.125817E+01   0.472525E+02
   0.128359E+01   0.450448E+02
   0.130952E+01   0.429371E+02
   0.133597E+01   0.409251E+02
   0.136296E+01   0.390046E+02
   0.139049E+01   0.372428E+02
   0.141858E+01   0.354896E+02
   0.144724E+01   0.338163E+02
   0.147648E+01   0.322194E+02
   0.150630E+01   0.307547E+02
   0.153673E+01   0.292977E+02
   0.156778E+01   0.279075E+02
   0.159945E+01   0.265811E+02
   0.163176E+01   0.253645E+02
   0.166472E+01   0.241550E+02
   0.169835E+01   0.230014E+02
   0.173266E+01   0.219014E+02
   0.176766E+01   0.208929E+02
   0.180337E+01   0.198911E+02
   0.183980E+01   0.189362E+02
   0.187697E+01   0.180263E+02
   0.191489E+01   0.171926E+02
   0.195357E+01   0.163650E+02
   0.199304E+01   0.155767E+02
   0.203330E+01   0.148259E+02
   0.207437E+01   0.141383E+02
   0.211628E+01   0.134561E+02
   0.215903E+01   0.128067E+02
   0.220265E+01   0.121884E+02
   0.224714E+01   0.116000E+02
