#           k/h    P           
   0.195863E+00   0.259475E+04
   0.199820E+00   0.248182E+04
   0.203856E+00   0.236286E+04
   0.207974E+00   0.224802E+04
   0.212176E+00   0.214165E+04
   0.216462E+00   0.204706E+04
   0.220835E+00   0.196989E+04
   0.225296E+00   0.190203E+04
   0.229847E+00   0.184468E+04
   0.234490E+00   0.179360E+04
   0.239227E+00   0.174766E+04
   0.244060E+00   0.169631E+04
   0.248990E+00   0.164032E+04
   0.254020E+00   0.157828E+04
   0.259152E+00   0.151391E+04
   0.264387E+00   0.144431E+04
   0.269728E+00   0.137663E+04
   0.275177E+00   0.131399E+04
   0.280736E+00   0.126064E+04
   0.286407E+00   0.121206E+04
   0.292193E+00   0.116971E+04
   0.298096E+00   0.113102E+04
   0.304118E+00   0.109528E+04
   0.310261E+00   0.105602E+04
   0.316529E+00   0.101449E+04
   0.322923E+00   0.971181E+03
   0.329447E+00   0.927811E+03
   0.336102E+00   0.888151E+03
   0.342892E+00   0.850142E+03
   0.349819E+00   0.816087E+03
   0.356885E+00   0.785179E+03
   0.364095E+00   0.757406E+03
   0.371450E+00   0.728418E+03
   0.378954E+00   0.699009E+03
   0.386609E+00   0.669252E+03
   0.394419E+00   0.641300E+03
   0.402387E+00   0.613546E+03
   0.410516E+00   0.587802E+03
   0.418809E+00   0.564002E+03
   0.427269E+00   0.542541E+03
   0.435901E+00   0.520466E+03
   0.444706E+00   0.498968E+03
   0.453690E+00   0.478216E+03
   0.462855E+00   0.459108E+03
   0.472206E+00   0.439774E+03
   0.481745E+00   0.421151E+03
   0.491477E+00   0.403225E+03
   0.501405E+00   0.386747E+03
   0.511534E+00   0.370134E+03
   0.521868E+00   0.354172E+03
   0.532411E+00   0.338846E+03
   0.543166E+00   0.324136E+03
   0.554139E+00   0.310642E+03
   0.565333E+00   0.297087E+03
   0.576753E+00   0.284098E+03
   0.588404E+00   0.271658E+03
   0.600291E+00   0.260264E+03
   0.612418E+00   0.248840E+03
   0.624789E+00   0.237907E+03
   0.637411E+00   0.227442E+03
   0.650288E+00   0.217859E+03
   0.663424E+00   0.208251E+03
   0.676826E+00   0.199054E+03
   0.690499E+00   0.190250E+03
   0.704448E+00   0.182186E+03
   0.718679E+00   0.174102E+03
   0.733197E+00   0.166363E+03
   0.748009E+00   0.158956E+03
   0.763119E+00   0.152169E+03
   0.778536E+00   0.145367E+03
   0.794263E+00   0.138856E+03
   0.810308E+00   0.132623E+03
   0.826677E+00   0.126911E+03
   0.843378E+00   0.121190E+03
   0.860415E+00   0.115713E+03
   0.877797E+00   0.110473E+03
   0.895529E+00   0.105460E+03
   0.913620E+00   0.100866E+03
   0.932076E+00   0.962690E+02
   0.950906E+00   0.918733E+02
   0.970115E+00   0.876703E+02
   0.989713E+00   0.838199E+02
   0.100971E+01   0.799710E+02
   0.103010E+01   0.762923E+02
   0.105091E+01   0.727770E+02
   0.107214E+01   0.695575E+02
   0.109380E+01   0.663418E+02
   0.111590E+01   0.632701E+02
   0.113844E+01   0.603362E+02
   0.116144E+01   0.576501E+02
   0.118490E+01   0.549690E+02
   0.120884E+01   0.524090E+02
   0.123326E+01   0.499648E+02
   0.125817E+01   0.477273E+02
   0.128359E+01   0.454947E+02
   0.130952E+01   0.433636E+02
   0.133597E+01   0.413292E+02
   0.136296E+01   0.393874E+02
   0.139049E+01   0.376097E+02
   0.141858E+01   0.358371E+02
   0.144724E+01   0.341455E+02
   0.147648E+01   0.325312E+02
   0.150630E+01   0.310534E+02
   0.153673E+01   0.295805E+02
   0.156778E+01   0.281753E+02
   0.159945E+01   0.268347E+02
   0.163176E+01   0.256074E+02
   0.166472E+01   0.243849E+02
   0.169835E+01   0.232190E+02
   0.173266E+01   0.221073E+02
   0.176766E+01   0.210900E+02
   0.180337E+01   0.200776E+02
   0.183980E+01   0.191128E+02
   0.187697E+01   0.181934E+02
   0.191489E+01   0.173525E+02
   0.195357E+01   0.165163E+02
   0.199304E+01   0.157198E+02
   0.203330E+01   0.149612E+02
   0.207437E+01   0.142678E+02
   0.211628E+01   0.135786E+02
   0.215903E+01   0.129225E+02
   0.220265E+01   0.122980E+02
   0.224714E+01   0.117036E+02
