#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.275940E-01   0.885696E+07   0.881107E+07  -0.296728E+03  -0.392335E+03   0.000000E+00   0.884925E+07   0.884925E+07   0.884925E+07  -0.198793E+00   0.431711E+07   0.431646E+07   0.787767E+01
   0.304693E-01   0.808944E+07   0.804151E+07  -0.243139E+03  -0.293864E+03   0.000000E+00   0.808139E+07   0.808139E+07   0.808139E+07  -0.181544E+00   0.394251E+07   0.394188E+07   0.694450E+01
   0.336442E-01   0.734320E+07   0.729467E+07  -0.164583E+03  -0.218762E+03   0.000000E+00   0.733505E+07   0.733505E+07   0.733505E+07  -0.164778E+00   0.357841E+07   0.357781E+07   0.600238E+01
   0.371499E-01   0.664635E+07   0.659909E+07  -0.130244E+03  -0.162383E+03   0.000000E+00   0.663842E+07   0.663842E+07   0.663842E+07  -0.149128E+00   0.323856E+07   0.323800E+07   0.505416E+01
   0.410209E-01   0.601564E+07   0.597178E+07  -0.117179E+03  -0.120540E+03   0.000000E+00   0.600828E+07   0.600828E+07   0.600828E+07  -0.134972E+00   0.293115E+07   0.293064E+07   0.411363E+01
   0.451230E-01   0.548332E+07   0.544473E+07   0.630308E+02  -0.908073E+02   0.000000E+00   0.547684E+07   0.547684E+07   0.547684E+07  -0.123034E+00   0.267188E+07   0.267145E+07   0.324596E+01
   0.492250E-01   0.506912E+07   0.503664E+07   0.489701E+02  -0.705459E+02   0.000000E+00   0.506366E+07   0.506366E+07   0.506366E+07  -0.113752E+00   0.247031E+07   0.246994E+07   0.252218E+01
   0.533271E-01   0.473683E+07   0.471046E+07   0.389986E+02  -0.561768E+02   0.000000E+00   0.473241E+07   0.473241E+07   0.473241E+07  -0.106311E+00   0.230870E+07   0.230839E+07   0.194595E+01
   0.574292E-01   0.445769E+07   0.443668E+07   0.316509E+02  -0.455895E+02   0.000000E+00   0.445416E+07   0.445416E+07   0.445416E+07  -0.100060E+00   0.217295E+07   0.217269E+07   0.151304E+01
   0.615313E-01   0.420804E+07   0.419114E+07   0.260314E+02  -0.374933E+02   0.000000E+00   0.420520E+07   0.420520E+07   0.420520E+07  -0.944673E-01   0.205149E+07   0.205127E+07   0.120973E+01
   0.656334E-01   0.397166E+07   0.395738E+07   0.215960E+02  -0.311041E+02   0.000000E+00   0.396927E+07   0.396927E+07   0.396927E+07  -0.891672E-01   0.193639E+07   0.193619E+07   0.101501E+01
   0.697355E-01   0.373853E+07   0.372541E+07   0.180073E+02  -0.259355E+02   0.000000E+00   0.373633E+07   0.373633E+07   0.373633E+07  -0.839344E-01   0.182275E+07   0.182256E+07   0.903119E+00
   0.738376E-01   0.351080E+07   0.349762E+07   0.150827E+02  -0.217239E+02   0.000000E+00   0.350859E+07   0.350859E+07   0.350859E+07  -0.788183E-01   0.171165E+07   0.171146E+07   0.848103E+00
   0.779397E-01   0.328044E+07   0.326641E+07   0.126470E+02  -0.182166E+02   0.000000E+00   0.327808E+07   0.327808E+07   0.327808E+07  -0.736401E-01   0.159920E+07   0.159901E+07   0.822725E+00
   0.820417E-01   0.305725E+07   0.304202E+07   0.106356E+02  -0.153203E+02   0.000000E+00   0.305469E+07   0.305469E+07   0.305469E+07  -0.686218E-01   0.149023E+07   0.149003E+07   0.807194E+00
   0.861438E-01   0.284739E+07   0.283106E+07   0.898310E+01  -0.129407E+02   0.000000E+00   0.284465E+07   0.284465E+07   0.284465E+07  -0.639034E-01   0.138776E+07   0.138756E+07   0.786628E+00
   0.922988E-01   0.257051E+07   0.255339E+07   0.706260E+01  -0.101748E+02   0.000000E+00   0.256764E+07   0.256764E+07   0.256764E+07  -0.576805E-01   0.125262E+07   0.125242E+07   0.729416E+00
   0.984537E-01   0.235184E+07   0.233540E+07   0.567873E+01  -0.818124E+01   0.000000E+00   0.234908E+07   0.234908E+07   0.234908E+07  -0.527707E-01   0.114600E+07   0.114581E+07   0.638258E+00
