#    L    TT             EE             TE             PP             TP          
   204   0.753709E+04   0.874866E+00  -0.125364E+02   0.321232E+07   0.311003E+04
   205   0.755053E+04   0.879373E+00  -0.107372E+02   0.319560E+07   0.308330E+04
   206   0.756310E+04   0.885221E+00  -0.891153E+01   0.317902E+07   0.305676E+04
   207   0.757493E+04   0.892443E+00  -0.705991E+01   0.316257E+07   0.303039E+04
   208   0.758582E+04   0.901103E+00  -0.518312E+01   0.314625E+07   0.300420E+04
   209   0.759590E+04   0.911232E+00  -0.328176E+01   0.313007E+07   0.297819E+04
   210   0.760518E+04   0.922895E+00  -0.135695E+01   0.311401E+07   0.295235E+04
   211   0.761366E+04   0.936130E+00   0.591037E+00   0.309809E+07   0.292670E+04
   212   0.762118E+04   0.950980E+00   0.256103E+01   0.308229E+07   0.290123E+04
   213   0.762798E+04   0.967498E+00   0.455286E+01   0.306662E+07   0.287594E+04
   214   0.763390E+04   0.985689E+00   0.656508E+01   0.305107E+07   0.285084E+04
   215   0.763902E+04   0.100576E+01   0.859674E+01   0.303565E+07   0.282591E+04
   216   0.764326E+04   0.102752E+01   0.106481E+02   0.302035E+07   0.280118E+04
   217   0.764677E+04   0.105116E+01   0.127170E+02   0.300518E+07   0.277663E+04
   218   0.764940E+04   0.107668E+01   0.148034E+02   0.299012E+07   0.275227E+04
   219   0.765123E+04   0.110408E+01   0.169080E+02   0.297519E+07   0.272809E+04
   220   0.765225E+04   0.113353E+01   0.190262E+02   0.296037E+07   0.270411E+04
   221   0.765248E+04   0.116497E+01   0.211599E+02   0.294567E+07   0.268031E+04
   222   0.765189E+04   0.119855E+01   0.233075E+02   0.293109E+07   0.265670E+04
   223   0.765036E+04   0.123422E+01   0.254694E+02   0.291662E+07   0.263329E+04
   224   0.764817E+04   0.127197E+01   0.276417E+02   0.290227E+07   0.261007E+04
   225   0.764510E+04   0.131198E+01   0.298273E+02   0.288803E+07   0.258704E+04
   226   0.764122E+04   0.135425E+01   0.320220E+02   0.287390E+07   0.256421E+04
   227   0.763647E+04   0.139879E+01   0.342273E+02   0.285988E+07   0.254157E+04
