#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   122   0.450673E+04  -0.479711E+02   0.389936E-03  -0.479711E+02   0.131832E+01  -0.876190E-06   0.389936E-03  -0.876190E-06   0.111405E-06
   123   0.455217E+04  -0.486692E+02   0.385614E-03  -0.486692E+02   0.132860E+01  -0.908989E-06   0.385614E-03  -0.908989E-06   0.110682E-06
   124   0.459770E+04  -0.493500E+02   0.381357E-03  -0.493500E+02   0.133840E+01  -0.942089E-06   0.381357E-03  -0.942089E-06   0.109965E-06
   125   0.464322E+04  -0.500156E+02   0.377164E-03  -0.500156E+02   0.134762E+01  -0.974847E-06   0.377164E-03  -0.974847E-06   0.109253E-06
   126   0.468882E+04  -0.506650E+02   0.373033E-03  -0.506650E+02   0.135635E+01  -0.100662E-05   0.373033E-03  -0.100662E-05   0.108547E-06
   127   0.473440E+04  -0.512972E+02   0.368963E-03  -0.512972E+02   0.136442E+01  -0.103676E-05   0.368963E-03  -0.103676E-05   0.107847E-06
   128   0.477997E+04  -0.519114E+02   0.364952E-03  -0.519114E+02   0.137200E+01  -0.106464E-05   0.364952E-03  -0.106464E-05   0.107153E-06
   129   0.482560E+04  -0.525065E+02   0.361000E-03  -0.525065E+02   0.137891E+01  -0.108960E-05   0.361000E-03  -0.108960E-05   0.106464E-06
   130   0.487121E+04  -0.530817E+02   0.357104E-03  -0.530817E+02   0.138517E+01  -0.111101E-05   0.357104E-03  -0.111101E-05   0.105781E-06
   131   0.491679E+04  -0.536382E+02   0.353264E-03  -0.536382E+02   0.139091E+01  -0.112836E-05   0.353264E-03  -0.112836E-05   0.105103E-06
   132   0.496242E+04  -0.541730E+02   0.349479E-03  -0.541730E+02   0.139600E+01  -0.114180E-05   0.349479E-03  -0.114180E-05   0.104432E-06
   133   0.500794E+04  -0.546881E+02   0.345749E-03  -0.546881E+02   0.140049E+01  -0.115157E-05   0.345749E-03  -0.115157E-05   0.103766E-06
   134   0.505343E+04  -0.551790E+02   0.342073E-03  -0.551790E+02   0.140440E+01  -0.115796E-05   0.342073E-03  -0.115796E-05   0.103105E-06
   135   0.509890E+04  -0.556485E+02   0.338451E-03  -0.556485E+02   0.140765E+01  -0.116124E-05   0.338451E-03  -0.116124E-05   0.102450E-06
   136   0.514418E+04  -0.560929E+02   0.334881E-03  -0.560929E+02   0.141024E+01  -0.116167E-05   0.334881E-03  -0.116167E-05   0.101801E-06
   137   0.518942E+04  -0.565141E+02   0.331365E-03  -0.565141E+02   0.141225E+01  -0.115954E-05   0.331365E-03  -0.115954E-05   0.101157E-06
   138   0.523456E+04  -0.569107E+02   0.327901E-03  -0.569107E+02   0.141360E+01  -0.115511E-05   0.327901E-03  -0.115511E-05   0.100519E-06
   139   0.527943E+04  -0.572818E+02   0.324489E-03  -0.572818E+02   0.141443E+01  -0.114865E-05   0.324489E-03  -0.114865E-05   0.998855E-07
   140   0.532434E+04  -0.576279E+02   0.321128E-03  -0.576279E+02   0.141454E+01  -0.114044E-05   0.321128E-03  -0.114044E-05   0.992577E-07
   141   0.536899E+04  -0.579468E+02   0.317818E-03  -0.579468E+02   0.141399E+01  -0.113074E-05   0.317818E-03  -0.113074E-05   0.986353E-07
   142   0.541360E+04  -0.582391E+02   0.314558E-03  -0.582391E+02   0.141286E+01  -0.111984E-05   0.314558E-03  -0.111984E-05   0.980181E-07
   143   0.545809E+04  -0.585046E+02   0.311349E-03  -0.585046E+02   0.141114E+01  -0.110799E-05   0.311349E-03  -0.110799E-05   0.974062E-07
   144   0.550232E+04  -0.587426E+02   0.308189E-03  -0.587426E+02   0.140877E+01  -0.109547E-05   0.308189E-03  -0.109547E-05   0.967994E-07
   145   0.554634E+04  -0.589521E+02   0.305078E-03  -0.589521E+02   0.140590E+01  -0.108256E-05   0.305078E-03  -0.108256E-05   0.961978E-07
   146   0.559040E+04  -0.591331E+02   0.302015E-03  -0.591331E+02   0.140229E+01  -0.106952E-05   0.302015E-03  -0.106952E-05   0.956013E-07
   147   0.563404E+04  -0.592839E+02   0.299001E-03  -0.592839E+02   0.139818E+01  -0.105663E-05   0.299001E-03  -0.105663E-05   0.950099E-07
   148   0.567748E+04  -0.594059E+02   0.296034E-03  -0.594059E+02   0.139342E+01  -0.104416E-05   0.296034E-03  -0.104416E-05   0.944235E-07
   149   0.572079E+04  -0.594975E+02   0.293115E-03  -0.594975E+02   0.138807E+01  -0.103237E-05   0.293115E-03  -0.103237E-05   0.938421E-07
   150   0.576376E+04  -0.595564E+02   0.290242E-03  -0.595564E+02   0.138223E+01  -0.102155E-05   0.290242E-03  -0.102155E-05   0.932657E-07
   151   0.580652E+04  -0.595854E+02   0.287416E-03  -0.595854E+02   0.137580E+01  -0.101190E-05   0.287416E-03  -0.101190E-05   0.926941E-07
   152   0.584893E+04  -0.595830E+02   0.284635E-03  -0.595830E+02   0.136873E+01  -0.100338E-05   0.284635E-03  -0.100338E-05   0.921275E-07
   153   0.589113E+04  -0.595469E+02   0.281898E-03  -0.595469E+02   0.136117E+01  -0.995908E-06   0.281898E-03  -0.995908E-06   0.915657E-07
   154   0.593304E+04  -0.594793E+02   0.279204E-03  -0.594793E+02   0.135312E+01  -0.989375E-06   0.279204E-03  -0.989375E-06   0.910087E-07
   155   0.597466E+04  -0.593794E+02   0.276553E-03  -0.593794E+02   0.134459E+01  -0.983690E-06   0.276553E-03  -0.983690E-06   0.904564E-07
   156   0.601583E+04  -0.592471E+02   0.273943E-03  -0.592471E+02   0.133558E+01  -0.978755E-06   0.273943E-03  -0.978755E-06   0.899089E-07
   157   0.605686E+04  -0.590809E+02   0.271374E-03  -0.590809E+02   0.132609E+01  -0.974474E-06   0.271374E-03  -0.974474E-06   0.893661E-07
   158   0.609751E+04  -0.588814E+02   0.268844E-03  -0.588814E+02   0.131622E+01  -0.970751E-06   0.268844E-03  -0.970751E-06   0.888280E-07
   159   0.613777E+04  -0.586487E+02   0.266352E-03  -0.586487E+02   0.130581E+01  -0.967489E-06   0.266352E-03  -0.967489E-06   0.882945E-07
   160   0.617773E+04  -0.583812E+02   0.263898E-03  -0.583812E+02   0.129501E+01  -0.964592E-06   0.263898E-03  -0.964592E-06   0.877657E-07
   161   0.621738E+04  -0.580802E+02   0.261480E-03  -0.580802E+02   0.128392E+01  -0.961963E-06   0.261480E-03  -0.961963E-06   0.872414E-07
   162   0.625663E+04  -0.577458E+02   0.259098E-03  -0.577458E+02   0.127238E+01  -0.959507E-06   0.259098E-03  -0.959507E-06   0.867216E-07
   163   0.629563E+04  -0.573765E+02   0.256751E-03  -0.573765E+02   0.126047E+01  -0.957126E-06   0.256751E-03  -0.957126E-06   0.862063E-07
   164   0.633409E+04  -0.569736E+02   0.254436E-03  -0.569736E+02   0.124827E+01  -0.954724E-06   0.254436E-03  -0.954724E-06   0.856955E-07
   165   0.637230E+04  -0.565348E+02   0.252155E-03  -0.565348E+02   0.123572E+01  -0.952204E-06   0.252155E-03  -0.952204E-06   0.851892E-07
   166   0.641009E+04  -0.560617E+02   0.249905E-03  -0.560617E+02   0.122297E+01  -0.949471E-06   0.249905E-03  -0.949471E-06   0.846872E-07
   167   0.644755E+04  -0.555548E+02   0.247685E-03  -0.555548E+02   0.120979E+01  -0.946428E-06   0.247685E-03  -0.946428E-06   0.841896E-07
   168   0.648445E+04  -0.550120E+02   0.245495E-03  -0.550120E+02   0.119657E+01  -0.942979E-06   0.245495E-03  -0.942979E-06   0.836964E-07
   169   0.652093E+04  -0.544331E+02   0.243334E-03  -0.544331E+02   0.118302E+01  -0.939026E-06   0.243334E-03  -0.939026E-06   0.832074E-07
   170   0.655699E+04  -0.538195E+02   0.241200E-03  -0.538195E+02   0.116936E+01  -0.934474E-06   0.241200E-03  -0.934474E-06   0.827227E-07
   171   0.659247E+04  -0.531691E+02   0.239093E-03  -0.531691E+02   0.115560E+01  -0.929226E-06   0.239093E-03  -0.929226E-06   0.822422E-07
   172   0.662745E+04  -0.524832E+02   0.237011E-03  -0.524832E+02   0.114167E+01  -0.923186E-06   0.237011E-03  -0.923186E-06   0.817660E-07
   173   0.666185E+04  -0.517618E+02   0.234954E-03  -0.517618E+02   0.112757E+01  -0.916257E-06   0.234954E-03  -0.916257E-06   0.812939E-07
   174   0.669582E+04  -0.510048E+02   0.232921E-03  -0.510048E+02   0.111361E+01  -0.908343E-06   0.232921E-03  -0.908343E-06   0.808259E-07
   175   0.672926E+04  -0.502114E+02   0.230911E-03  -0.502114E+02   0.109949E+01  -0.899347E-06   0.230911E-03  -0.899347E-06   0.803620E-07
   176   0.676205E+04  -0.493816E+02   0.228922E-03  -0.493816E+02   0.108545E+01  -0.889199E-06   0.228922E-03  -0.889199E-06   0.799022E-07
   177   0.679431E+04  -0.485169E+02   0.226955E-03  -0.485169E+02   0.107141E+01  -0.877928E-06   0.226955E-03  -0.877928E-06   0.794464E-07
