#    L    TT             EE             TE             PP             TP          
   154   0.191572E+05   0.437133E+01  -0.192196E+03   0.135078E+08   0.152693E+05
   155   0.192914E+05   0.434335E+01  -0.191865E+03   0.134267E+08   0.151250E+05
   156   0.194245E+05   0.431383E+01  -0.191429E+03   0.133463E+08   0.149830E+05
   157   0.195567E+05   0.428280E+01  -0.190885E+03   0.132665E+08   0.148432E+05
   158   0.196878E+05   0.425041E+01  -0.190235E+03   0.131874E+08   0.147055E+05
   159   0.198178E+05   0.421655E+01  -0.189476E+03   0.131090E+08   0.145700E+05
   160   0.199467E+05   0.418143E+01  -0.188609E+03   0.130312E+08   0.144365E+05
   161   0.200744E+05   0.414518E+01  -0.187632E+03   0.129541E+08   0.143050E+05
   162   0.202009E+05   0.410771E+01  -0.186547E+03   0.128777E+08   0.141754E+05
   163   0.203263E+05   0.406915E+01  -0.185351E+03   0.128019E+08   0.140477E+05
   164   0.204503E+05   0.402963E+01  -0.184046E+03   0.127267E+08   0.139218E+05
   165   0.205731E+05   0.398912E+01  -0.182627E+03   0.126522E+08   0.137977E+05
   166   0.206946E+05   0.394783E+01  -0.181098E+03   0.125783E+08   0.136753E+05
   167   0.208147E+05   0.390560E+01  -0.179457E+03   0.125051E+08   0.135546E+05
   168   0.209333E+05   0.386285E+01  -0.177702E+03   0.124324E+08   0.134355E+05
   169   0.210505E+05   0.381933E+01  -0.175833E+03   0.123604E+08   0.133180E+05
   170   0.211662E+05   0.377534E+01  -0.173851E+03   0.122890E+08   0.132019E+05
   171   0.212802E+05   0.373092E+01  -0.171753E+03   0.122183E+08   0.130873E+05
   172   0.213927E+05   0.368605E+01  -0.169540E+03   0.121481E+08   0.129741E+05
   173   0.215034E+05   0.364079E+01  -0.167212E+03   0.120785E+08   0.128623E+05
   174   0.216126E+05   0.359549E+01  -0.164768E+03   0.120096E+08   0.127517E+05
   175   0.217201E+05   0.354991E+01  -0.162207E+03   0.119412E+08   0.126423E+05
   176   0.218257E+05   0.350434E+01  -0.159529E+03   0.118734E+08   0.125341E+05
   177   0.219295E+05   0.345880E+01  -0.156735E+03   0.118062E+08   0.124271E+05
   178   0.220316E+05   0.341364E+01  -0.153825E+03   0.117396E+08   0.123212E+05
